RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
REQUEST	98		GET /api/v2/pokemon/	1604625691609	1604625691711	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	98	END	1604625691588	1604625691712
USER	Positive: Fetch 10 pokemon characters and validate the schema	100	START	1604625691786	1604625691786
REQUEST	99		GET /api/v2/pokemon/	1604625691707	1604625691810	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	99	END	1604625691688	1604625691812
USER	Positive: Fetch 10 pokemon characters and validate the schema	101	START	1604625691888	1604625691888
REQUEST	100		GET /api/v2/pokemon/	1604625691802	1604625691901	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	100	END	1604625691786	1604625691902
USER	Positive: Fetch 10 pokemon characters and validate the schema	102	START	1604625691986	1604625691986
REQUEST	101		GET /api/v2/pokemon/	1604625691909	1604625692015	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	101	END	1604625691888	1604625692019
USER	Positive: Fetch 10 pokemon characters and validate the schema	103	START	1604625692086	1604625692086
REQUEST	102		GET /api/v2/pokemon/	1604625692003	1604625692100	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	102	END	1604625691986	1604625692101
USER	Positive: Fetch 10 pokemon characters and validate the schema	104	START	1604625692186	1604625692186
REQUEST	103		GET /api/v2/pokemon/	1604625692101	1604625692198	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	103	END	1604625692086	1604625692199
USER	Positive: Fetch 10 pokemon characters and validate the schema	105	START	1604625692285	1604625692285
REQUEST	104		GET /api/v2/pokemon/	1604625692203	1604625692293	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	104	END	1604625692186	1604625692295
USER	Positive: Fetch 10 pokemon characters and validate the schema	106	START	1604625692388	1604625692388
REQUEST	105		GET /api/v2/pokemon/	1604625692306	1604625692391	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	105	END	1604625692285	1604625692393
USER	Positive: Fetch 10 pokemon characters and validate the schema	107	START	1604625692488	1604625692488
REQUEST	106		GET /api/v2/pokemon/	1604625692407	1604625692504	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	106	END	1604625692388	1604625692505
USER	Positive: Fetch 10 pokemon characters and validate the schema	108	START	1604625692587	1604625692587
REQUEST	107		GET /api/v2/pokemon/	1604625692513	1604625692628	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	107	END	1604625692488	1604625692630
USER	Positive: Fetch 10 pokemon characters and validate the schema	109	START	1604625692689	1604625692689
REQUEST	108		GET /api/v2/pokemon/	1604625692606	1604625692699	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	108	END	1604625692587	1604625692702
USER	Positive: Fetch 10 pokemon characters and validate the schema	110	START	1604625692789	1604625692789
REQUEST	109		GET /api/v2/pokemon/	1604625692708	1604625692805	OK	 
